report_dt,division_name,val,rate
2015-01,9-4,1.0,0.17
2015-01,9-5,1.0,0.17
2015-01,9-6,1.0,0.17
2015-01,9-7,1.0,0.17
2015-01,9-8,1.0,0.17
2015-02,1-1,0.937129,0.15
2015-02,1-2,0.937444,0.15
2015-02,1-3,0.94437,0.15
2015-02,1-4,0.950237,0.15
2015-02,1-5,0.960298,0.15
2015-02,1-6,0.941302,0.15
2015-02,10-1,0.934857,0.15
2015-02,10-10,0.941624,0.15
2015-02,10-2,0.937262,0.15
2015-02,10-3,0.941097,0.15
2015-02,10-4,0.929785,0.15
2015-02,10-5,0.936738,0.15
2015-02,10-6,0.943867,0.15
2015-02,10-7,0.933101,0.15
2015-02,10-8,0.941572,0.15
2015-02,10-9,0.939763,0.15
2015-02,11-1,0.934812,0.15
2015-02,11-2,0.942118,0.15
2015-02,11-3,0.941034,0.15
2015-02,11-4,0.946936,0.15
2015-02,11-5,0.92979,0.15
2015-02,11-6,0.926808,0.15
2015-02,11-7,0.940855,0.15
2015-02,11-8,0.931535,0.15
2015-02,2-1,0.946177,0.15
2015-02,2-2,0.927652,0.15
2015-02,2-3,0.92417,0.15
2015-02,2-4,0.932798,0.15
2015-02,2-5,0.934402,0.15
2015-02,2-6,0.948041,0.15
2015-02,2-7,0.941627,0.15
2015-02,2-8,0.939487,0.15
2015-02,2-9,0.935949,0.15
2015-02,3-1,0.939414,0.15
2015-02,3-2,0.943687,0.15
2015-02,3-3,0.949923,0.15
2015-02,3-4,0.953557,0.15
2015-02,4-2,0.936472,0.15
2015-02,5-1,0.939181,0.15
2015-02,5-10,0.955052,0.15
2015-02,5-11,0.952471,0.15
2015-02,5-12,0.951111,0.15
2015-02,5-13,0.929446,0.15
2015-02,5-14,0.945432,0.15
2015-02,5-15,0.897796,0.15
2015-02,5-2,0.932997,0.15
2015-02,5-3,0.959245,0.15
2015-02,5-4,0.962377,0.15
2015-02,5-5,0.965235,0.15
2015-02,5-6,0.954201,0.15
2015-02,5-7,0.956484,0.15
2015-02,5-8,0.966381,0.15
2015-02,5-9,0.950487,0.15
2015-02,6-1,0.883333,0.15
2015-02,6-10,0.939582,0.15
2015-02,6-2,0.938587,0.15
2015-02,6-3,0.949405,0.15
2015-02,6-4,0.946723,0.15
2015-02,6-5,0.931007,0.15
2015-02,6-6,0.930345,0.15
2015-02,6-7,0.954205,0.15
2015-02,6-8,0.917857,0.15
2015-02,6-9,0.940922,0.15
2015-02,7-1,0.936049,0.15
2015-02,7-2,1.01323,0.15
2015-02,7-3,0.977653,0.15
2015-02,7-4,0.928895,0.15
2015-02,7-5,0.931952,0.15
2015-02,7-6,0.931276,0.15
2015-02,7-7,0.946587,0.15
2015-02,7-8,0.945476,0.15
2015-02,8-1,0.946255,0.15
2015-02,8-10,0.970728,0.15
2015-02,8-11,1.005555,0.15
2015-02,8-2,0.947014,0.15
2015-02,8-3,0.939096,0.15
2015-02,8-4,0.97866,0.15
2015-02,8-5,0.984011,0.15
2015-02,8-6,0.94528,0.15
2015-02,8-7,0.939237,0.15
2015-02,8-8,0.998678,0.15
2015-02,8-9,0.98153,0.15
2015-02,9-1,0.940552,0.15
2015-02,9-2,0.941633,0.15
2015-02,9-3,0.938181,0.15
2015-02,9-4,0.943386,0.15
2015-02,9-5,0.933514,0.15
2015-02,9-6,0.940813,0.15
2015-02,9-7,0.934827,0.15
2015-02,9-8,0.93827,0.15
2015-03,1-1,1.141615,0.14
2015-03,1-2,1.157548,0.14
2015-03,1-3,1.168997,0.14
2015-03,1-4,1.161489,0.14
2015-03,1-5,1.159405,0.14
2015-03,1-6,1.14494,0.14
2015-03,10-1,1.147026,0.14
2015-03,10-10,1.151255,0.14
2015-03,10-2,1.140934,0.14
2015-03,10-3,1.139066,0.14
2015-03,10-4,1.128308,0.14
2015-03,10-5,1.134676,0.14
2015-03,10-6,1.136978,0.14
2015-03,10-7,1.142067,0.14
2015-03,10-8,1.153684,0.14
2015-03,10-9,1.149372,0.14
2015-03,11-1,1.138027,0.14
2015-03,11-2,1.187386,0.14
2015-03,11-3,1.140123,0.14
2015-03,11-4,1.157123,0.14
2015-03,11-5,1.140485,0.14
2015-03,11-6,1.143799,0.14
2015-03,11-7,1.132498,0.14
2015-03,11-8,1.14868,0.14
2015-03,2-1,1.144271,0.14
2015-03,2-2,1.135264,0.14
2015-03,2-3,1.141309,0.14
2015-03,2-4,1.134443,0.14
2015-03,2-5,1.14176,0.14
2015-03,2-6,1.152602,0.14
2015-03,2-7,1.151952,0.14
2015-03,2-8,1.156436,0.14
2015-03,2-9,1.146425,0.14
2015-03,3-1,1.148298,0.14
2015-03,3-2,1.187364,0.14
2015-03,3-3,1.196429,0.14
2015-03,3-4,1.170708,0.14
2015-03,4-2,1.141374,0.14
2015-03,5-1,1.134346,0.14
2015-03,5-10,1.164954,0.14
2015-03,5-11,1.160939,0.14
2015-03,5-12,1.174318,0.14
2015-03,5-13,1.145843,0.14
2015-03,5-14,1.155792,0.14
2015-03,5-15,1.091334,0.14
2015-03,5-2,1.135292,0.14
2015-03,5-3,1.18431,0.14
2015-03,5-4,1.196251,0.14
2015-03,5-5,1.190479,0.14
2015-03,5-6,1.182615,0.14
2015-03,5-7,1.160782,0.14
2015-03,5-8,1.176343,0.14
2015-03,5-9,1.153934,0.14
2015-03,6-1,1.0,0.14
2015-03,6-10,1.146937,0.14
2015-03,6-2,1.149647,0.14
2015-03,6-3,1.173969,0.14
2015-03,6-4,1.168719,0.14
2015-03,6-5,1.141377,0.14
2015-03,6-6,1.146659,0.14
2015-03,6-7,1.173607,0.14
2015-03,6-8,1.119624,0.14
2015-03,6-9,1.143577,0.14
2015-03,7-1,1.143259,0.14
2015-03,7-2,1.240425,0.14
2015-03,7-3,1.185575,0.14
2015-03,7-4,1.132712,0.14
2015-03,7-5,1.13671,0.14
2015-03,7-6,1.16421,0.14
2015-03,7-7,1.150724,0.14
2015-03,7-8,1.159295,0.14
2015-03,8-1,1.1653,0.14
2015-03,8-10,1.22076,0.14
2015-03,8-11,1.221947,0.14
2015-03,8-2,1.154838,0.14
2015-03,8-3,1.167933,0.14
2015-03,8-4,1.209466,0.14
2015-03,8-5,1.215604,0.14
2015-03,8-6,1.151228,0.14
2015-03,8-7,1.142069,0.14
2015-03,8-8,1.216726,0.14
2015-03,8-9,1.192452,0.14
2015-03,9-1,1.152812,0.14
2015-03,9-2,1.157174,0.14
2015-03,9-3,1.15617,0.14
2015-03,9-4,1.163188,0.14
2015-03,9-5,1.155577,0.14
2015-03,9-6,1.162505,0.14
2015-03,9-7,1.169935,0.14
2015-03,9-8,1.140649,0.14
2015-04,1-1,1.055119,0.14
2015-04,1-2,1.078056,0.14
2015-04,1-3,1.078597,0.14
2015-04,1-4,1.092369,0.14
2015-04,1-5,1.081699,0.14
2015-04,1-6,1.05553,0.14
2015-04,10-1,1.05223,0.14
2015-04,10-10,1.063815,0.14
2015-04,10-2,1.057326,0.14
2015-04,10-3,1.038096,0.14
2015-04,10-4,1.035636,0.14
2015-04,10-5,1.037488,0.14
2015-04,10-6,1.045613,0.14
2015-04,10-7,1.043076,0.14
2015-04,10-8,1.028117,0.14
2015-04,10-9,1.061407,0.14
2015-04,11-1,1.024611,0.14
2015-04,11-2,1.091807,0.14
2015-04,11-3,1.049221,0.14
2015-04,11-4,1.062646,0.14
2015-04,11-5,1.04479,0.14
2015-04,11-6,1.05518,0.14
2015-04,11-7,1.022218,0.14
2015-04,11-8,1.05316,0.14
2015-04,2-1,1.050626,0.14
2015-04,2-2,1.032972,0.14
2015-04,2-3,1.045204,0.14
2015-04,2-4,1.043675,0.14
2015-04,2-5,1.053346,0.14
2015-04,2-6,1.066688,0.14
2015-04,2-7,1.06139,0.14
2015-04,2-8,1.069884,0.14
2015-04,2-9,1.06678,0.14
2015-04,3-1,1.062246,0.14
2015-04,3-2,1.107017,0.14
2015-04,3-3,1.135256,0.14
2015-04,3-4,1.09305,0.14
2015-04,4-2,1.045439,0.14
2015-04,5-1,1.025134,0.14
2015-04,5-10,1.084889,0.14
2015-04,5-11,1.083475,0.14
2015-04,5-12,1.098993,0.14
2015-04,5-13,1.057568,0.14
2015-04,5-14,1.083671,0.14
2015-04,5-15,0.98543,0.14
2015-04,5-2,1.04654,0.14
2015-04,5-3,1.099478,0.14
2015-04,5-4,1.117884,0.14
2015-04,5-5,1.108831,0.14
2015-04,5-6,1.091736,0.14
2015-04,5-7,1.087711,0.14
2015-04,5-8,1.114024,0.14
2015-04,5-9,1.069063,0.14
2015-04,6-1,1.041666,0.14
2015-04,6-10,1.059229,0.14
2015-04,6-2,1.064286,0.14
2015-04,6-3,1.084523,0.14
2015-04,6-4,1.0855,0.14
2015-04,6-5,1.050835,0.14
2015-04,6-6,1.041207,0.14
2015-04,6-7,1.084746,0.14
2015-04,6-8,1.0325,0.14
2015-04,6-9,1.056563,0.14
2015-04,7-1,1.052988,0.14
2015-04,7-2,1.138923,0.14
2015-04,7-3,1.119993,0.14
2015-04,7-4,1.030086,0.14
2015-04,7-5,1.037789,0.14
2015-04,7-6,1.067712,0.14
2015-04,7-7,1.059657,0.14
2015-04,7-8,1.072588,0.14
2015-04,8-1,1.078837,0.14
2015-04,8-10,1.131058,0.14
2015-04,8-11,1.18413,0.14
2015-04,8-2,1.068685,0.14
2015-04,8-3,1.079015,0.14
2015-04,8-4,1.149737,0.14
2015-04,8-5,1.160204,0.14
2015-04,8-6,1.075661,0.14
2015-04,8-7,1.070862,0.14
2015-04,8-8,1.149436,0.14
2015-04,8-9,1.111214,0.14
2015-04,9-1,1.077723,0.14
2015-04,9-2,1.073814,0.14
2015-04,9-3,1.073511,0.14
2015-04,9-4,1.093052,0.14
2015-04,9-5,1.078901,0.14
2015-04,9-6,1.085238,0.14
2015-04,9-7,1.092726,0.14
2015-04,9-8,1.067556,0.14
2015-05,1-1,1.09388,0.125
2015-05,1-2,1.128662,0.125
2015-05,1-3,1.133384,0.125
2015-05,1-4,1.139903,0.125
2015-05,1-5,1.125719,0.125
2015-05,1-6,1.098158,0.125
2015-05,10-1,1.093101,0.125
2015-05,10-10,1.111557,0.125
2015-05,10-2,1.105969,0.125
2015-05,10-3,1.081209,0.125
2015-05,10-4,1.065091,0.125
2015-05,10-5,1.082475,0.125
2015-05,10-6,1.081564,0.125
2015-05,10-7,1.07864,0.125
2015-05,10-8,1.101899,0.125
2015-05,10-9,1.109437,0.125
2015-05,11-1,1.069175,0.125
2015-05,11-2,1.169753,0.125
2015-05,11-3,1.108775,0.125
2015-05,11-4,1.119279,0.125
2015-05,11-5,1.099025,0.125
2015-05,11-6,1.1086,0.125
2015-05,11-7,1.065231,0.125
2015-05,11-8,1.107302,0.125
2015-05,2-1,1.10882,0.125
2015-05,2-2,1.065546,0.125
2015-05,2-3,1.089214,0.125
2015-05,2-4,1.092849,0.125
2015-05,2-5,1.097989,0.125
2015-05,2-6,1.118555,0.125
2015-05,2-7,1.108958,0.125
2015-05,2-8,1.106904,0.125
2015-05,2-9,1.106778,0.125
2015-05,3-1,1.1098,0.125
2015-05,3-2,1.161039,0.125
2015-05,3-3,1.199927,0.125
2015-05,3-4,1.152382,0.125
2015-05,4-2,1.086586,0.125
2015-05,5-1,1.05715,0.125
2015-05,5-10,1.142167,0.125
2015-05,5-11,1.144559,0.125
2015-05,5-12,1.169381,0.125
2015-05,5-13,1.092209,0.125
2015-05,5-14,1.124383,0.125
2015-05,5-15,1.015776,0.125
2015-05,5-2,1.09368,0.125
2015-05,5-3,1.158079,0.125
2015-05,5-4,1.181031,0.125
2015-05,5-5,1.167762,0.125
2015-05,5-6,1.154564,0.125
2015-05,5-7,1.139239,0.125
2015-05,5-8,1.160423,0.125
2015-05,5-9,1.108677,0.125
2015-05,6-1,1.008333,0.125
2015-05,6-10,1.097819,0.125
2015-05,6-2,1.110884,0.125
2015-05,6-3,1.144333,0.125
2015-05,6-4,1.129817,0.125
2015-05,6-5,1.095951,0.125
2015-05,6-6,1.074937,0.125
2015-05,6-7,1.120813,0.125
2015-05,6-8,1.067785,0.125
2015-05,6-9,1.096739,0.125
2015-05,7-1,1.10172,0.125
2015-05,7-2,1.195506,0.125
2015-05,7-3,1.172353,0.125
2015-05,7-4,1.07529,0.125
2015-05,7-5,1.079803,0.125
2015-05,7-6,1.114712,0.125
2015-05,7-7,1.106,0.125
2015-05,7-8,1.129582,0.125
2015-05,8-1,1.128519,0.125
2015-05,8-10,1.138215,0.125
2015-05,8-11,1.205947,0.125
2015-05,8-2,1.116404,0.125
2015-05,8-3,1.127596,0.125
2015-05,8-4,1.220972,0.125
2015-05,8-5,1.233259,0.125
2015-05,8-6,1.125184,0.125
2015-05,8-7,1.120285,0.125
2015-05,8-8,1.209873,0.125
2015-05,8-9,1.180697,0.125
2015-05,9-1,1.130152,0.125
2015-05,9-2,1.124523,0.125
2015-05,9-3,1.110455,0.125
2015-05,9-4,1.129237,0.125
2015-05,9-5,1.126577,0.125
2015-05,9-6,1.139679,0.125
2015-05,9-7,1.141315,0.125
2015-05,9-8,1.103969,0.125
2015-06,1-1,1.118837,0.115
2015-06,1-2,1.159432,0.115
2015-06,1-3,1.16072,0.115
2015-06,1-4,1.168959,0.115
2015-06,1-5,1.169333,0.115
2015-06,1-6,1.127029,0.115
2015-06,10-1,1.117585,0.115
2015-06,10-10,1.140221,0.115
2015-06,10-2,1.147886,0.115
2015-06,10-3,1.097984,0.115
2015-06,10-4,1.076433,0.115
2015-06,10-5,1.09758,0.115
2015-06,10-6,1.097305,0.115
2015-06,10-7,1.09396,0.115
2015-06,10-8,1.13226,0.115
2015-06,10-9,1.139309,0.115
2015-06,11-1,1.095294,0.115
2015-06,11-2,1.208049,0.115
2015-06,11-3,1.143173,0.115
2015-06,11-4,1.160398,0.115
2015-06,11-5,1.129326,0.115
2015-06,11-6,1.132999,0.115
2015-06,11-7,1.087458,0.115
2015-06,11-8,1.143361,0.115
2015-06,2-1,1.114482,0.115
2015-06,2-2,1.096728,0.115
2015-06,2-3,1.118877,0.115
2015-06,2-4,1.11944,0.115
2015-06,2-5,1.13021,0.115
2015-06,2-6,1.142233,0.115
2015-06,2-7,1.126397,0.115
2015-06,2-8,1.131017,0.115
2015-06,2-9,1.138734,0.115
2015-06,3-1,1.15298,0.115
2015-06,3-2,1.189589,0.115
2015-06,3-3,1.252761,0.115
2015-06,3-4,1.190766,0.115
2015-06,4-2,1.110347,0.115
2015-06,5-1,1.061664,0.115
2015-06,5-10,1.190783,0.115
2015-06,5-11,1.193066,0.115
2015-06,5-12,1.21721,0.115
2015-06,5-13,1.118702,0.115
2015-06,5-14,1.1564,0.115
2015-06,5-15,1.015658,0.115
2015-06,5-2,1.123333,0.115
2015-06,5-3,1.211284,0.115
2015-06,5-4,1.245087,0.115
2015-06,5-5,1.222385,0.115
2015-06,5-6,1.205604,0.115
2015-06,5-7,1.196799,0.115
2015-06,5-8,1.195467,0.115
2015-06,5-9,1.148441,0.115
2015-06,6-1,1.0,0.115
2015-06,6-10,1.121269,0.115
2015-06,6-2,1.131856,0.115
2015-06,6-3,1.159879,0.115
2015-06,6-4,1.155711,0.115
2015-06,6-5,1.111406,0.115
2015-06,6-6,1.090413,0.115
2015-06,6-7,1.14385,0.115
2015-06,6-8,1.078685,0.115
2015-06,6-9,1.120878,0.115
2015-06,7-1,1.127873,0.115
2015-06,7-2,1.195941,0.115
2015-06,7-3,1.206249,0.115
2015-06,7-4,1.083588,0.115
2015-06,7-5,1.100873,0.115
2015-06,7-6,1.154607,0.115
2015-06,7-7,1.12598,0.115
2015-06,7-8,1.166859,0.115
2015-06,8-1,1.163175,0.115
2015-06,8-10,1.153366,0.115
2015-06,8-11,1.283127,0.115
2015-06,8-2,1.144785,0.115
2015-06,8-3,1.166425,0.115
2015-06,8-4,1.280425,0.115
2015-06,8-5,1.304791,0.115
2015-06,8-6,1.16699,0.115
2015-06,8-7,1.144484,0.115
2015-06,8-8,1.251595,0.115
2015-06,8-9,1.231162,0.115
2015-06,9-1,1.16624,0.115
2015-06,9-2,1.15451,0.115
2015-06,9-3,1.128716,0.115
2015-06,9-4,1.164354,0.115
2015-06,9-5,1.159996,0.115
2015-06,9-6,1.164511,0.115
2015-06,9-7,1.173042,0.115
2015-06,9-8,1.128665,0.115
2015-07,1-1,1.16613,0.115
2015-07,1-2,1.237195,0.115
2015-07,1-3,1.214793,0.115
2015-07,1-4,1.235795,0.115
2015-07,1-5,1.228692,0.115
2015-07,1-6,1.184403,0.115
2015-07,10-1,1.173812,0.115
2015-07,10-10,1.199834,0.115
2015-07,10-2,1.227848,0.115
2015-07,10-3,1.147191,0.115
2015-07,10-4,1.111318,0.115
2015-07,10-5,1.143266,0.115
2015-07,10-6,1.148175,0.115
2015-07,10-7,1.13521,0.115
2015-07,10-8,1.18558,0.115
2015-07,10-9,1.206852,0.115
2015-07,11-1,1.154907,0.115
2015-07,11-2,1.288335,0.115
2015-07,11-3,1.211011,0.115
2015-07,11-4,1.235574,0.115
2015-07,11-5,1.194884,0.115
2015-07,11-6,1.200701,0.115
2015-07,11-7,1.147439,0.115
2015-07,11-8,1.210174,0.115
2015-07,2-1,1.165264,0.115
2015-07,2-2,1.148051,0.115
2015-07,2-3,1.183649,0.115
2015-07,2-4,1.181655,0.115
2015-07,2-5,1.19176,0.115
2015-07,2-6,1.192462,0.115
2015-07,2-7,1.183687,0.115
2015-07,2-8,1.165137,0.115
2015-07,2-9,1.209276,0.115
2015-07,3-1,1.221266,0.115
2015-07,3-2,1.273026,0.115
2015-07,3-3,1.329953,0.115
2015-07,3-4,1.240834,0.115
2015-07,4-2,1.163954,0.115
2015-07,5-1,1.089501,0.115
2015-07,5-10,1.254689,0.115
2015-07,5-11,1.282533,0.115
2015-07,5-12,1.30289,0.115
2015-07,5-13,1.187302,0.115
2015-07,5-14,1.210989,0.115
2015-07,5-15,1.011869,0.115
2015-07,5-2,1.183441,0.115
2015-07,5-3,1.284869,0.115
2015-07,5-4,1.321004,0.115
2015-07,5-5,1.307169,0.115
2015-07,5-6,1.293072,0.115
2015-07,5-7,1.278915,0.115
2015-07,5-8,1.246447,0.115
2015-07,5-9,1.21538,0.115
2015-07,6-1,1.183333,0.115
2015-07,6-10,1.185052,0.115
2015-07,6-2,1.199911,0.115
2015-07,6-3,1.233732,0.115
2015-07,6-4,1.21346,0.115
2015-07,6-5,1.172279,0.115
2015-07,6-6,1.138993,0.115
2015-07,6-7,1.19371,0.115
2015-07,6-8,1.1402,0.115
2015-07,6-9,1.184158,0.115
2015-07,7-1,1.187848,0.115
2015-07,7-2,1.214747,0.115
2015-07,7-3,1.252453,0.115
2015-07,7-4,1.141857,0.115
2015-07,7-5,1.145088,0.115
2015-07,7-6,1.245561,0.115
2015-07,7-7,1.175634,0.115
2015-07,7-8,1.232288,0.115
2015-07,8-1,1.229368,0.115
2015-07,8-10,1.231821,0.115
2015-07,8-11,1.40038,0.115
2015-07,8-2,1.190937,0.115
2015-07,8-3,1.213971,0.115
2015-07,8-4,1.346474,0.115
2015-07,8-5,1.354707,0.115
2015-07,8-6,1.2507,0.115
2015-07,8-7,1.203708,0.115
2015-07,8-8,1.336922,0.115
2015-07,8-9,1.308497,0.115
2015-07,9-1,1.24557,0.115
2015-07,9-2,1.227639,0.115
2015-07,9-3,1.18039,0.115
2015-07,9-4,1.232386,0.115
2015-07,9-5,1.222616,0.115
2015-07,9-6,1.22493,0.115
2015-07,9-7,1.23223,0.115
2015-07,9-8,1.181607,0.115
2015-08,1-1,1.156251,0.11
2015-08,1-2,1.24228,0.11
2015-08,1-3,1.194003,0.11
2015-08,1-4,1.234849,0.11
2015-08,1-5,1.235089,0.11
2015-08,1-6,1.166798,0.11
2015-08,10-1,1.15427,0.11
2015-08,10-10,1.180846,0.11
2015-08,10-2,1.221517,0.11
2015-08,10-3,1.119693,0.11
2015-08,10-4,1.083967,0.11
2015-08,10-5,1.118089,0.11
2015-08,10-6,1.11526,0.11
2015-08,10-7,1.110974,0.11
2015-08,10-8,1.173258,0.11
2015-08,10-9,1.19925,0.11
2015-08,11-1,1.113189,0.11
2015-08,11-2,1.285751,0.11
2015-08,11-3,1.203829,0.11
2015-08,11-4,1.240559,0.11
2015-08,11-5,1.181759,0.11
2015-08,11-6,1.1984,0.11
2015-08,11-7,1.124116,0.11
2015-08,11-8,1.19851,0.11
2015-08,2-1,1.138434,0.11
2015-08,2-2,1.121748,0.11
2015-08,2-3,1.1589,0.11
2015-08,2-4,1.16558,0.11
2015-08,2-5,1.176636,0.11
2015-08,2-6,1.174988,0.11
2015-08,2-7,1.169306,0.11
2015-08,2-8,1.150976,0.11
2015-08,2-9,1.185732,0.11
2015-08,3-1,1.220617,0.11
2015-08,3-2,1.259109,0.11
2015-08,3-3,1.326431,0.11
2015-08,3-4,1.235198,0.11
2015-08,4-2,1.147493,0.11
2015-08,5-1,1.048982,0.11
2015-08,5-10,1.248519,0.11
2015-08,5-11,1.273785,0.11
2015-08,5-12,1.296306,0.11
2015-08,5-13,1.153923,0.11
2015-08,5-14,1.197665,0.11
2015-08,5-15,0.996583,0.11
2015-08,5-2,1.167025,0.11
2015-08,5-3,1.27341,0.11
2015-08,5-4,1.332329,0.11
2015-08,5-5,1.30091,0.11
2015-08,5-6,1.291632,0.11
2015-08,5-7,1.279376,0.11
2015-08,5-8,1.231339,0.11
2015-08,5-9,1.197183,0.11
2015-08,6-1,1.25,0.11
2015-08,6-10,1.167452,0.11
2015-08,6-2,1.183953,0.11
2015-08,6-3,1.214598,0.11
2015-08,6-4,1.206566,0.11
2015-08,6-5,1.164179,0.11
2015-08,6-6,1.124094,0.11
2015-08,6-7,1.175584,0.11
2015-08,6-8,1.132424,0.11
2015-08,6-9,1.181878,0.11
2015-08,7-1,1.180506,0.11
2015-08,7-2,1.200689,0.11
2015-08,7-3,1.245021,0.11
2015-08,7-4,1.128819,0.11
2015-08,7-5,1.130947,0.11
2015-08,7-6,1.240696,0.11
2015-08,7-7,1.172701,0.11
2015-08,7-8,1.216793,0.11
2015-08,8-1,1.225921,0.11
2015-08,8-10,1.201325,0.11
2015-08,8-11,1.394164,0.11
2015-08,8-2,1.180994,0.11
2015-08,8-3,1.216902,0.11
2015-08,8-4,1.348724,0.11
2015-08,8-5,1.349149,0.11
2015-08,8-6,1.255489,0.11
2015-08,8-7,1.190752,0.11
2015-08,8-8,1.344883,0.11
2015-08,8-9,1.306378,0.11
2015-08,9-1,1.239067,0.11
2015-08,9-2,1.226883,0.11
2015-08,9-3,1.155702,0.11
2015-08,9-4,1.203341,0.11
2015-08,9-5,1.217247,0.11
2015-08,9-6,1.219029,0.11
2015-08,9-7,1.226959,0.11
2015-08,9-8,1.165886,0.11
2015-09,1-1,1.193952,0.11
2015-09,1-2,1.28079,0.11
2015-09,1-3,1.234688,0.11
2015-09,1-4,1.283372,0.11
2015-09,1-5,1.280665,0.11
2015-09,1-6,1.192803,0.11
2015-09,10-1,1.174097,0.11
2015-09,10-10,1.210823,0.11
2015-09,10-2,1.267336,0.11
2015-09,10-3,1.128308,0.11
2015-09,10-4,1.100277,0.11
2015-09,10-5,1.138263,0.11
2015-09,10-6,1.14348,0.11
2015-09,10-7,1.118653,0.11
2015-09,10-8,1.212251,0.11
2015-09,10-9,1.237232,0.11
2015-09,11-1,1.100397,0.11
2015-09,11-2,1.343832,0.11
2015-09,11-3,1.208266,0.11
2015-09,11-4,1.274596,0.11
2015-09,11-5,1.206558,0.11
2015-09,11-6,1.235387,0.11
2015-09,11-7,1.128495,0.11
2015-09,11-8,1.228563,0.11
2015-09,2-1,1.155045,0.11
2015-09,2-2,1.146432,0.11
2015-09,2-3,1.168711,0.11
2015-09,2-4,1.188124,0.11
2015-09,2-5,1.182412,0.11
2015-09,2-6,1.197992,0.11
2015-09,2-7,1.204945,0.11
2015-09,2-8,1.192222,0.11
2015-09,2-9,1.210365,0.11
2015-09,3-1,1.27217,0.11
2015-09,3-2,1.33105,0.11
2015-09,3-3,1.401097,0.11
2015-09,3-4,1.275643,0.11
2015-09,4-2,1.160247,0.11
2015-09,5-1,1.040102,0.11
2015-09,5-10,1.266218,0.11
2015-09,5-11,1.306792,0.11
2015-09,5-12,1.3374,0.11
2015-09,5-13,1.165688,0.11
2015-09,5-14,1.227454,0.11
2015-09,5-15,0.974583,0.11
2015-09,5-2,1.181442,0.11
2015-09,5-3,1.299619,0.11
2015-09,5-4,1.367021,0.11
2015-09,5-5,1.327212,0.11
2015-09,5-6,1.318785,0.11
2015-09,5-7,1.307631,0.11
2015-09,5-8,1.266886,0.11
2015-09,5-9,1.224931,0.11
2015-09,6-1,1.25,0.11
2015-09,6-10,1.194426,0.11
2015-09,6-2,1.217948,0.11
2015-09,6-3,1.251682,0.11
2015-09,6-4,1.238166,0.11
2015-09,6-5,1.195029,0.11
2015-09,6-6,1.155425,0.11
2015-09,6-7,1.223248,0.11
